DC field strength (mT),Average mode separation (GHz),Std.dev.
2.000000000000000000e+01,1.071428571428563181e+00,3.582541604396735302e+00
2.100000000000000000e+01,9.890109890109813895e-01,3.586374755725654229e+00
2.200000000000000000e+01,1.056443556443548371e+00,3.645909465901024049e+00
2.300000000000000000e+01,1.149759331577504762e+00,3.697757193228266015e+00
2.400000000000000000e+01,1.048951048951040965e+00,3.551725209550951945e+00
2.500000000000000000e+01,1.294705294705284837e+00,3.721928272898353374e+00
2.600000000000000000e+01,1.168831168831159895e+00,4.014289923298959728e+00
2.700000000000000000e+01,7.545395780689839738e-01,4.450828499319372966e+00
2.800000000000000000e+01,8.551448551448485036e-01,3.687767262177405136e+00
2.900000000000000000e+01,8.035714285714223859e-01,3.369243637654630863e+00
3.000000000000000000e+01,8.571428571428505450e-01,3.635541423821863738e+00
