DC field strength (mT),Average mode separation (GHz),Std.dev.
2.000000000000000000e+01,6.964464107321196584e-01,4.390187542996284442e+00
2.100000000000000000e+01,6.093906093906047428e-01,3.761001429322421874e+00
2.200000000000000000e+01,7.634470792365470881e-01,4.043247790669469488e+00
2.300000000000000000e+01,6.319767189332358148e-01,4.406403471143686801e+00
2.400000000000000000e+01,9.084665334665265046e-01,4.017629762894101120e+00
2.500000000000000000e+01,6.907378335949710957e-01,3.862223871162760336e+00
2.600000000000000000e+01,7.508281192491661482e-01,3.747918511223672589e+00
2.700000000000000000e+01,7.634470792365469771e-01,3.890731810875355912e+00
2.800000000000000000e+01,9.028471528471458951e-01,4.000892481162611425e+00
2.900000000000000000e+01,9.010989010988942338e-01,3.955247442178518202e+00
3.000000000000000000e+01,8.354145854145790251e-01,3.808913188799411209e+00
