DC field strength (mT),Average mode separation (GHz),Std.dev.
2.000000000000000000e+01,1.191308691308682111e+00,2.720737032462432481e+00
2.100000000000000000e+01,9.920079920079845071e-01,2.859895812928869852e+00
2.200000000000000000e+01,9.018254472799859256e-01,2.735524643784315035e+00
2.300000000000000000e+01,7.892107892107832479e-01,2.450132855263461806e+00
2.400000000000000000e+01,7.892107892107832479e-01,2.504518280500828808e+00
2.500000000000000000e+01,1.078921078921070587e+00,3.792287907777080136e+00
2.600000000000000000e+01,9.440559440559368465e-01,3.107000488817809991e+00
2.700000000000000000e+01,1.191308691308682111e+00,2.706590161559959462e+00
2.800000000000000000e+01,1.052281052281044182e+00,2.603498763236452351e+00
2.900000000000000000e+01,1.158841158841149799e+00,2.984352922980071376e+00
3.000000000000000000e+01,1.039960039960031946e+00,2.894334606500838625e+00
