DC field strength (mT),Average mode separation (GHz),Std.dev.
2.000000000000000000e+01,1.327244184387031067e+00,3.004315660248510600e+00
2.100000000000000000e+01,1.331525617239892600e+00,3.013252805999135475e+00
2.200000000000000000e+01,1.357214214357061133e+00,3.028935928231618835e+00
2.300000000000000000e+01,1.357214214357061133e+00,3.029806891234771982e+00
2.400000000000000000e+01,1.183816183816174927e+00,2.620041879824048792e+00
2.500000000000000000e+01,1.548451548451536652e+00,3.739755402868313983e+00
2.600000000000000000e+01,1.058941058941050839e+00,2.756983764928666147e+00
2.700000000000000000e+01,1.187562437562428297e+00,2.711031771075186558e+00
2.800000000000000000e+01,1.158841158841149799e+00,3.041757250893954989e+00
2.900000000000000000e+01,1.485657199942902906e+00,3.032124378999345282e+00
3.000000000000000000e+01,1.481375767090041373e+00,2.980528050368648429e+00
